race,sex,gpa,lsat,role,prob0,prob1,idx
White,2,3.13262403151024,8,gen_cf,0.416,0.584,85
White,2,3.17441868515063,8,gen_cf,0.252,0.748,85
White,1,3.53096683217461,8,gen_cf,0.118,0.882,85
White,1,3.46932771006604,8,gen_cf,0.364,0.636,85
White,1,3.44741841269524,8,gen_cf,0.406,0.594,85
White,1,3.43150512498496,8,gen_cf,0.222,0.778,85
White,1,3.42423548694646,8,gen_cf,0.256,0.744,85
White,1,3.33866655737386,8,gen_cf,0.458,0.542,85
White,1,3.17908017579077,8,gen_cf,0.408,0.592,85
White,1,3.16794927471221,8,gen_cf,0.594,0.406,85
White,1,3.14567447830883,8,gen_cf,0.614,0.386,85
White,1,3.13497733196629,8,gen_cf,0.67,0.33,85
White,1,3.13847896517976,9,gen_cf,0.246,0.754,85
White,1,2.86782296801265,8,gen_cf,0.09,0.91,85
White,1,2.89235321261819,8,gen_cf,0.106,0.894,85
White,1,2.85271593034123,8,gen_cf,0.126,0.874,85
White,1,2.93737016928425,8,gen_cf,0.144,0.856,85
White,1,2.96405262138385,8,gen_cf,0.106,0.894,85
White,1,2.83812963565621,8,gen_cf,0.186,0.814,85
White,1,2.8389449040536,8,gen_cf,0.186,0.814,85
White,1,2.78394834465051,8,gen_cf,0.488,0.512,85
White,1,2.77562393656042,8,gen_cf,0.48,0.52,85
White,1,2.77347562849578,8,gen_cf,0.386,0.614,85
White,1,2.75263720843134,8,gen_cf,0.602,0.398,85
White,1,2.77222478920159,8,gen_cf,0.376,0.624,85
White,1,2.74424371178142,8,gen_cf,0.582,0.418,85
White,1,2.75681177578103,8,gen_cf,0.546,0.454,85
White,1,2.73795454799985,8,gen_cf,0.578,0.422,85
White,1,2.76259979015941,8,gen_cf,0.412,0.588,85
White,1,2.76062020259745,8,gen_cf,0.424,0.576,85
White,1,2.7274800915275,8,gen_cf,0.564,0.436,85
White,1,2.6788283528001,8,gen_cf,0.366,0.634,85
White,1,2.68577697746043,8,gen_cf,0.496,0.504,85
White,1,2.65622701806474,8,gen_cf,0.33,0.67,85
White,1,2.67380073773269,8,gen_cf,0.38,0.62,85
White,1,3.07238633222304,8,true_cf,0.38,0.62,85
White,1,2.68577697746043,8,a_flipped,0.496,0.504,85
White,2,2.67523297826984,8,x_nearest,0.81,0.19,85
Black,1,2.73720173628243,5,x_interest,0.092,0.908,102
White,2,3.68543435065379,6,gen_cf,0.154,0.846,102
White,1,3.12395741840385,13,gen_cf,0.188,0.812,102
White,1,3.46892571496587,3,gen_cf,0.204,0.796,102
White,2,3.40746901192608,5,gen_cf,0.082,0.918,102
White,1,3.09596808136134,12,gen_cf,0.26,0.74,102
White,2,3.37146931481259,5,gen_cf,0.114,0.886,102
White,2,3.2459846131498,5,gen_cf,0.072,0.928,102
White,1,3.49217638189555,6,gen_cf,0.538,0.462,102
White,1,3.18920474605302,6,gen_cf,0.65,0.35,102
White,1,3.18819538210913,6,gen_cf,0.6,0.4,102
White,1,3.56441020519964,5,gen_cf,0.17,0.83,102
White,1,3.32385171378019,5,gen_cf,0.672,0.328,102
White,1,2.89819330732829,4,gen_cf,0.23,0.77,102
White,2,2.73720173628243,9,gen_cf,0.486,0.514,102
White,1,3.19418564414353,5,gen_cf,0.718,0.282,102
White,1,2.99626877285275,4,gen_cf,0.114,0.886,102
White,1,2.86576226063627,5,gen_cf,0.308,0.692,102
White,1,2.8984990205388,5,gen_cf,0.434,0.566,102
White,1,2.89896764122286,5,gen_cf,0.434,0.566,102
White,1,2.89801561984048,5,gen_cf,0.424,0.576,102
White,1,2.90632306518122,5,gen_cf,0.424,0.576,102
White,1,2.97639906308193,5,gen_cf,0.59,0.41,102
White,1,2.91883360613445,5,gen_cf,0.42,0.58,102
White,1,2.93287464741341,5,gen_cf,0.39,0.61,102
White,1,2.73720173628243,4,gen_cf,0.424,0.576,102
White,1,2.83870041683549,5,gen_cf,0.268,0.732,102
White,1,2.78013942436165,5,gen_cf,0.384,0.616,102
White,1,2.72413696226452,5,gen_cf,0.158,0.842,102
White,1,2.73052701780731,5,gen_cf,0.26,0.74,102
White,1,2.73371922019602,5,gen_cf,0.228,0.772,102
White,1,2.73720173628243,5,gen_cf,0.236,0.764,102
White,1,3.12381109104504,9,true_cf,0.278,0.722,102
White,1,2.73720173628243,5,a_flipped,0.236,0.764,102
White,2,2.73442222728873,5,x_nearest,0.326,0.674,102
Black,2,2.35501773232785,8,x_interest,0.464,0.536,119
White,2,3.69479225362732,8,gen_cf,0.372,0.628,119
White,2,3.46878991502066,8,gen_cf,0.06,0.94,119
White,2,3.34079959761794,8,gen_cf,0.194,0.806,119
White,2,3.13116307610347,8,gen_cf,0.432,0.568,119
White,2,3.20504254506342,8,gen_cf,0.382,0.618,119
White,2,3.1926421071306,8,gen_cf,0.4,0.6,119
White,2,3.12160872238949,8,gen_cf,0.464,0.536,119
White,2,3.11974491437416,8,gen_cf,0.464,0.536,119
White,2,3.09675836941093,8,gen_cf,0.212,0.788,119
White,2,2.83800970963235,8,gen_cf,0.294,0.706,119
White,2,2.8325052090601,8,gen_cf,0.33,0.67,119
White,2,2.73893414342262,8,gen_cf,0.814,0.186,119
White,2,2.73649414533187,8,gen_cf,0.772,0.228,119
White,2,3.03904323075777,9,gen_cf,0.162,0.838,119
White,2,2.72751551879507,8,gen_cf,0.862,0.138,119
White,2,2.6954106308817,8,gen_cf,0.876,0.124,119
White,2,2.71482255222527,8,gen_cf,0.862,0.138,119
White,1,3.11974491437416,7,gen_cf,0.568,0.432,119
White,2,2.60000702509264,8,gen_cf,0.734,0.266,119
White,2,2.58057689078647,8,gen_cf,0.66,0.34,119
White,2,2.58323990532874,8,gen_cf,0.658,0.342,119
White,2,2.57554493993356,8,gen_cf,0.664,0.336,119
White,2,2.55933403427632,8,gen_cf,0.686,0.314,119
White,2,2.46984943642392,8,gen_cf,0.692,0.308,119
White,2,2.51487146060207,8,gen_cf,0.778,0.222,119
White,2,2.46669637230052,8,gen_cf,0.704,0.296,119
White,2,2.44762802379034,8,gen_cf,0.734,0.266,119
White,2,2.43723772740343,8,gen_cf,0.72,0.28,119
White,2,2.36847443407922,8,gen_cf,0.406,0.594,119
White,2,2.35501773232785,8,gen_cf,0.434,0.566,119
White,2,2.74162708709046,10,true_cf,0.38,0.62,119
White,2,2.35501773232785,8,a_flipped,0.434,0.566,119
White,1,2.39171559536767,8,x_nearest,0.156,0.844,119
Black,2,2.9305714673018,3,x_interest,0.136,0.864,125
White,2,3.82410398723273,2,gen_cf,0.24,0.76,125
White,2,3.67714512610867,2,gen_cf,0.04,0.96,125
White,2,3.58628328560929,8,gen_cf,0.2,0.8,125
White,2,3.43874526048459,2,gen_cf,0.054,0.946,125
White,2,3.51979784229492,3,gen_cf,0.488,0.512,125
White,2,3.57237400360012,3,gen_cf,0.622,0.378,125
White,2,3.56484737990305,3,gen_cf,0.486,0.514,125
White,2,3.5767616212527,3,gen_cf,0.618,0.382,125
White,2,3.49433090649508,3,gen_cf,0.414,0.586,125
White,2,3.41996466057541,3,gen_cf,0.176,0.824,125
White,2,3.29409291557843,3,gen_cf,0.052,0.948,125
White,2,3.23876183084355,3,gen_cf,0.02,0.98,125
White,2,3.26389130888995,3,gen_cf,0.078,0.922,125
White,2,3.220672554971,3,gen_cf,0.04,0.96,125
White,2,3.21853139008796,3,gen_cf,0.034,0.966,125
White,2,3.18941705326454,3,gen_cf,0.14,0.86,125
White,2,3.18118621050466,3,gen_cf,0.178,0.822,125
White,2,3.19791921781416,3,gen_cf,0.138,0.862,125
White,2,3.19786893473762,3,gen_cf,0.138,0.862,125
White,2,3.17392373342767,3,gen_cf,0.166,0.834,125
White,2,3.15923575914013,3,gen_cf,0.1,0.9,125
White,2,3.12836988569316,3,gen_cf,0.056,0.944,125
White,2,3.13900480285767,3,gen_cf,0.05,0.95,125
White,2,3.14871370187531,3,gen_cf,0.064,0.936,125
White,2,3.12375883894075,3,gen_cf,0.054,0.946,125
White,1,3.07941316110102,4,gen_cf,0.134,0.866,125
White,2,3.1581990114723,3,gen_cf,0.104,0.896,125
White,1,2.95327557247051,9,gen_cf,0.386,0.614,125
White,2,2.9305714673018,5,gen_cf,0.288,0.712,125
White,2,2.9754274398535,4,gen_cf,0.18,0.82,125
White,2,3.09580183160207,3,gen_cf,0.036,0.964,125
White,2,2.91963536861054,4,gen_cf,0.428,0.572,125
White,2,2.9305714673018,4,gen_cf,0.416,0.584,125
White,2,3.07467455445809,3,gen_cf,0.056,0.944,125
White,2,2.78863575889967,3,gen_cf,0.082,0.918,125
White,2,2.84556817504883,3,gen_cf,0.096,0.904,125
White,2,2.84420585533399,3,gen_cf,0.09,0.91,125
White,2,2.91963536861054,3,gen_cf,0.106,0.894,125
White,2,2.9305714673018,3,gen_cf,0.102,0.898,125
White,2,3.31718082206441,12,true_cf,0.248,0.752,125
White,2,2.9305714673018,3,a_flipped,0.102,0.898,125
White,1,2.9195979539248,3,x_nearest,0.096,0.904,125
Black,1,3.01886443366692,9,x_interest,0.156,0.844,127
White,2,3.78927464050623,12,gen_cf,0.124,0.876,127
White,2,3.65682808090752,9,gen_cf,0.128,0.872,127
White,2,3.63627147510097,9,gen_cf,0.062,0.938,127
White,2,3.83653622370654,9,gen_cf,0.08,0.92,127
White,2,3.64461109017402,7,gen_cf,0.418,0.582,127
White,2,3.51867794413311,8,gen_cf,0.328,0.672,127
White,2,3.60965879712936,9,gen_cf,0.096,0.904,127
White,2,3.51385771447564,9,gen_cf,0.236,0.764,127
White,1,3.41816342362682,12,gen_cf,0.516,0.484,127
White,2,3.37453646617343,9,gen_cf,0.228,0.772,127
White,2,3.30923995768517,9,gen_cf,0.116,0.884,127
White,2,3.13647885393025,9,gen_cf,0.368,0.632,127
White,2,3.13824003626263,9,gen_cf,0.348,0.652,127
White,2,3.23684089749822,9,gen_cf,0.168,0.832,127
White,1,3.02163389871537,13,gen_cf,0.12,0.88,127
White,1,2.93913426985553,12,gen_cf,0.06,0.94,127
White,2,3.09474672461515,9,gen_cf,0.42,0.58,127
White,1,3.57430913307824,9,gen_cf,0.064,0.936,127
White,1,3.46229092169225,9,gen_cf,0.334,0.666,127
White,1,3.42961087892488,9,gen_cf,0.088,0.912,127
White,1,3.26419416778653,8,gen_cf,0.344,0.656,127
White,1,3.38980520267915,9,gen_cf,0.218,0.782,127
White,1,3.40670912608953,9,gen_cf,0.05,0.95,127
White,1,3.40642729237978,9,gen_cf,0.054,0.946,127
White,1,3.37072668315864,9,gen_cf,0.122,0.878,127
White,1,3.38185630546272,9,gen_cf,0.096,0.904,127
White,1,3.30641773996297,9,gen_cf,0.132,0.868,127
White,1,3.3419509735955,9,gen_cf,0.07,0.93,127
White,1,3.34086306489971,9,gen_cf,0.068,0.932,127
White,1,3.17962567952113,9,gen_cf,0.372,0.628,127
White,1,3.12793369681393,9,gen_cf,0.244,0.756,127
White,1,3.1269487653502,9,gen_cf,0.296,0.704,127
White,1,3.19261182344187,9,gen_cf,0.554,0.446,127
White,2,3.03705187949948,9,gen_cf,0.152,0.848,127
White,1,3.07933726855489,9,gen_cf,0.148,0.852,127
White,1,2.8572831055735,9,gen_cf,0.046,0.954,127
White,1,2.90561412019646,9,gen_cf,0.088,0.912,127
White,1,2.94234295764237,9,gen_cf,0.122,0.878,127
White,1,2.96786628912274,9,gen_cf,0.146,0.854,127
White,1,2.97787102831803,9,gen_cf,0.24,0.76,127
White,1,3.01886443366692,6,gen_cf,0.624,0.376,127
White,1,2.99646202404921,9,gen_cf,0.226,0.774,127
White,1,2.98766563536105,9,gen_cf,0.232,0.768,127
White,1,2.97535999030423,9,gen_cf,0.212,0.788,127
White,1,3.00410029500178,9,gen_cf,0.244,0.756,127
White,1,3.05229615299367,9,gen_cf,0.322,0.678,127
White,1,3.02800480227301,9,gen_cf,0.282,0.718,127
White,1,3.02163389871537,9,gen_cf,0.218,0.782,127
White,1,3.01886443366692,9,gen_cf,0.218,0.782,127
White,1,3.40547378842953,8,true_cf,0.176,0.824,127
White,1,3.01886443366692,9,a_flipped,0.218,0.782,127
White,2,3.03741856023013,9,x_nearest,0.152,0.848,127
Black,1,2.83040721152075,7,x_interest,0.658,0.342,137
White,2,3.63061046870282,7,gen_cf,0.298,0.702,137
White,2,3.66272791592304,11,gen_cf,0.04,0.96,137
White,2,3.70043129815731,7,gen_cf,0.536,0.464,137
White,2,3.56606485287399,7,gen_cf,0.278,0.722,137
White,2,3.26069933153236,6,gen_cf,0.22,0.78,137
White,2,3.39023852341723,7,gen_cf,0.12,0.88,137
White,2,3.20194703145996,6,gen_cf,0.31,0.69,137
White,2,3.20717532574359,6,gen_cf,0.09,0.91,137
White,2,3.15336848999935,8,gen_cf,0.236,0.764,137
White,1,3.69214868643012,17,gen_cf,0.514,0.486,137
White,2,3.29374265602422,7,gen_cf,0.092,0.908,137
White,2,3.13408538941708,7,gen_cf,0.21,0.79,137
White,2,3.26069933153236,7,gen_cf,0.056,0.944,137
White,2,3.20767971734215,7,gen_cf,0.126,0.874,137
White,1,3.70116908783511,4,gen_cf,0.094,0.906,137
White,1,3.25832382970376,8,gen_cf,0.23,0.77,137
White,1,3.18682666072189,8,gen_cf,0.494,0.506,137
White,1,3.23623963932736,7,gen_cf,0.222,0.778,137
White,1,3.12527939234193,7,gen_cf,0.444,0.556,137
White,1,3.20717532574359,7,gen_cf,0.35,0.65,137
White,1,2.92103540077394,6,gen_cf,0.802,0.198,137
White,1,3.10999979977567,7,gen_cf,0.412,0.588,137
White,1,3.10167341155591,7,gen_cf,0.508,0.492,137
White,1,2.90005059218798,9,gen_cf,0.094,0.906,137
White,1,2.92103540077394,7,gen_cf,0.662,0.338,137
White,1,2.90658619983029,7,gen_cf,0.632,0.368,137
White,1,2.92355952436516,7,gen_cf,0.682,0.318,137
White,1,2.92114916472261,7,gen_cf,0.664,0.336,137
White,1,2.89414978206769,7,gen_cf,0.388,0.612,137
White,1,2.83985218819304,7,gen_cf,0.446,0.554,137
White,1,2.77597619871578,7,gen_cf,0.624,0.376,137
White,1,2.80373721031631,7,gen_cf,0.398,0.602,137
White,1,2.83040721152075,7,gen_cf,0.49,0.51,137
White,1,2.81908227364482,7,gen_cf,0.526,0.474,137
White,1,2.82468574951575,7,gen_cf,0.492,0.508,137
White,1,3.21701656628336,5,true_cf,0.436,0.564,137
White,1,2.83040721152075,7,a_flipped,0.49,0.51,137
White,2,2.83475334521749,7,x_nearest,0.082,0.918,137
Black,2,2.75630554376377,9,x_interest,0.76,0.24,138
White,2,3.5818592472567,13,gen_cf,0.084,0.916,138
White,2,3.70171080935726,9,gen_cf,0.484,0.516,138
White,2,3.84251301946353,9,gen_cf,0.022,0.978,138
White,2,3.55628608466029,9,gen_cf,0.358,0.642,138
White,2,3.5240237339764,9,gen_cf,0.34,0.66,138
White,2,3.48331909342612,9,gen_cf,0.292,0.708,138
White,2,3.49329178524542,9,gen_cf,0.292,0.708,138
White,2,3.49172912510756,9,gen_cf,0.314,0.686,138
White,2,3.39217638533185,9,gen_cf,0.29,0.71,138
White,2,3.41620759306962,9,gen_cf,0.142,0.858,138
White,2,3.30844240519911,9,gen_cf,0.1,0.9,138
White,2,3.27525828391499,9,gen_cf,0.312,0.688,138
White,2,3.12724113542002,9,gen_cf,0.506,0.494,138
White,2,3.23713626366696,9,gen_cf,0.166,0.834,138
White,2,3.15382038418289,9,gen_cf,0.474,0.526,138
White,2,3.08811797227796,9,gen_cf,0.44,0.56,138
White,2,3.07925991393667,9,gen_cf,0.434,0.566,138
White,2,2.74696259798781,8,gen_cf,0.852,0.148,138
White,2,2.85342420601979,9,gen_cf,0.144,0.856,138
White,2,2.83614099933949,9,gen_cf,0.182,0.818,138
White,2,2.85875743068055,9,gen_cf,0.116,0.884,138
White,2,2.83980067905865,9,gen_cf,0.172,0.828,138
White,2,2.84100422535369,9,gen_cf,0.172,0.828,138
White,2,2.88754046418937,9,gen_cf,0.114,0.886,138
White,2,2.74218371523666,9,gen_cf,0.558,0.442,138
White,2,2.74143722504408,9,gen_cf,0.538,0.462,138
White,2,2.74769497422953,9,gen_cf,0.636,0.364,138
White,2,2.75630554376377,9,gen_cf,0.608,0.392,138
White,2,3.14291489852638,7,true_cf,0.234,0.766,138
White,2,2.75630554376377,9,a_flipped,0.608,0.392,138
White,1,2.74809020930628,9,x_nearest,0.588,0.412,138
Black,1,2.56772504675602,5,x_interest,0.23,0.77,163
White,2,3.37262371143533,3,gen_cf,0.136,0.864,163
White,1,3.44675618307678,2,gen_cf,0.052,0.948,163
White,2,3.38051956022668,5,gen_cf,0.108,0.892,163
White,2,3.13913123718496,7,gen_cf,0.212,0.788,163
White,1,3.48548451608427,6,gen_cf,0.662,0.338,163
White,1,3.4304884224833,6,gen_cf,0.666,0.334,163
White,1,3.37231371962344,6,gen_cf,0.694,0.306,163
White,1,3.28783890813655,6,gen_cf,0.348,0.652,163
White,1,3.4304884224833,5,gen_cf,0.448,0.552,163
White,1,3.22217686623374,6,gen_cf,0.398,0.602,163
White,1,3.36772133453524,5,gen_cf,0.634,0.366,163
White,1,3.31467639473495,5,gen_cf,0.712,0.288,163
White,1,3.07823253786713,6,gen_cf,0.474,0.526,163
White,1,2.91823746516642,6,gen_cf,0.816,0.184,163
White,1,2.89053092912809,6,gen_cf,0.674,0.326,163
White,1,2.96014027747076,6,gen_cf,0.776,0.224,163
White,1,2.94391060747508,5,gen_cf,0.382,0.618,163
White,1,2.89866418684689,5,gen_cf,0.434,0.566,163
White,1,2.92540740551311,5,gen_cf,0.432,0.568,163
White,1,2.89053092912809,5,gen_cf,0.358,0.642,163
White,1,2.91823746516642,5,gen_cf,0.42,0.58,163
White,1,2.92676569852108,5,gen_cf,0.42,0.58,163
White,1,2.90295177260983,5,gen_cf,0.418,0.582,163
White,1,2.85354127364877,5,gen_cf,0.378,0.622,163
White,1,2.71206811997151,4,gen_cf,0.182,0.818,163
White,1,2.80857505909341,5,gen_cf,0.19,0.81,163
White,1,2.72861713827462,5,gen_cf,0.244,0.756,163
White,1,2.71148113411235,5,gen_cf,0.162,0.838,163
White,1,2.72568051150445,5,gen_cf,0.222,0.778,163
White,1,2.71871097704521,5,gen_cf,0.174,0.826,163
White,1,2.71206811997151,5,gen_cf,0.154,0.846,163
White,1,2.70943277191777,5,gen_cf,0.164,0.836,163
White,1,2.68123059704181,5,gen_cf,0.108,0.892,163
White,1,2.67487045734868,5,gen_cf,0.104,0.896,163
White,1,2.65469302441161,5,gen_cf,0.134,0.866,163
White,1,2.57395767558766,5,gen_cf,0.078,0.922,163
White,1,2.56772504675602,5,gen_cf,0.082,0.918,163
White,1,2.95433440151864,7,true_cf,0.492,0.508,163
White,1,2.56772504675602,5,a_flipped,0.082,0.918,163
White,1,2.56881267519866,5,x_nearest,0.082,0.918,163
Black,2,3.3594133457796,7,x_interest,0.686,0.314,165
White,2,3.76567534326405,15,gen_cf,0.126,0.874,165
White,2,3.85921545427297,6,gen_cf,0.234,0.766,165
White,2,3.7895380818642,9,gen_cf,0.062,0.938,165
White,2,3.78163473278606,7,gen_cf,0.192,0.808,165
White,2,3.78274763460081,7,gen_cf,0.108,0.892,165
White,2,3.50898937271849,8,gen_cf,0.096,0.904,165
White,2,3.62004444618418,7,gen_cf,0.262,0.738,165
White,2,3.55718040822098,7,gen_cf,0.312,0.688,165
White,2,3.53021276919367,7,gen_cf,0.256,0.744,165
White,2,3.57576723357204,7,gen_cf,0.188,0.812,165
White,2,3.56812675427198,7,gen_cf,0.264,0.736,165
White,2,3.578556517392,7,gen_cf,0.168,0.832,165
White,2,3.50820266251475,7,gen_cf,0.048,0.952,165
White,2,3.4747003646918,7,gen_cf,0.024,0.976,165
White,2,3.48676752165773,7,gen_cf,0.03,0.97,165
White,2,3.47653668974759,7,gen_cf,0.03,0.97,165
White,2,3.42065334841279,7,gen_cf,0.016,0.984,165
White,2,3.41479453449126,7,gen_cf,0.026,0.974,165
White,2,3.32018733487893,7,gen_cf,0.08,0.92,165
