age,capital_gain,capital_loss,education,education_num,hours_per_week,martial_status,occupation,race,relationship,sex,workclass,role,prob0,prob1,idx
49,0,0,9th,5,25,Married-spouse-absent,Other-service,White,Not-in-family,Female,Private,gen_cf,0.996,0.004,7
55,0,0,9th,5,16,Married-spouse-absent,Other-service,White,Not-in-family,Female,Private,gen_cf,0.996,0.004,7
51,0,0,9th,5,16,Married-spouse-absent,Other-service,White,Not-in-family,Female,Private,gen_cf,0.996,0.004,7
49,0,0,9th,5,16,Married-spouse-absent,Other-service,White,Not-in-family,Female,Private,gen_cf,0.996,0.004,7
37,0,0,Some-college,10,80,Married-civ-spouse,Exec-managerial,Black,Husband,Male,Private,x_interest,0.15,0.85,11
37,0,0,Some-college,7,54,Married-civ-spouse,Tech-support,White,Husband,Male,Private,gen_cf,0.546,0.454,11
36,0,576,HS-grad,10,67,Married-civ-spouse,Exec-managerial,White,Husband,Male,Private,gen_cf,0.358,0.642,11
37,0,0,Masters,8,66,Married-civ-spouse,Exec-managerial,White,Husband,Male,Private,gen_cf,0.394,0.606,11
37,0,144,Some-college,10,67,Married-civ-spouse,Exec-managerial,White,Husband,Male,Self-emp-not-inc,gen_cf,0.622,0.378,11
37,0,0,Some-college,10,65,Married-civ-spouse,Exec-managerial,White,Husband,Male,Private,gen_cf,0.36,0.64,11
37,0,0,Some-college,10,67,Married-civ-spouse,Exec-managerial,White,Husband,Male,Private,gen_cf,0.336,0.664,11
37,0,0,Some-college,10,68,Married-civ-spouse,Exec-managerial,White,Husband,Male,Private,gen_cf,0.322,0.678,11
37,0,0,Some-college,10,72,Married-civ-spouse,Exec-managerial,White,Husband,Male,Private,gen_cf,0.296,0.704,11
37,0,24,Some-college,10,80,Married-civ-spouse,Sales,White,Husband,Male,Private,gen_cf,0.214,0.786,11
42,0,0,Some-college,10,80,Married-civ-spouse,Exec-managerial,White,Husband,Male,Private,gen_cf,0.318,0.682,11
26,0,0,Some-college,10,80,Married-civ-spouse,Exec-managerial,White,Husband,Male,Self-emp-inc,gen_cf,0.768,0.232,11
32,0,0,Some-college,10,80,Married-civ-spouse,Exec-managerial,White,Husband,Male,Private,gen_cf,0.636,0.364,11
37,0,0,Some-college,9,80,Married-civ-spouse,Exec-managerial,White,Husband,Male,Private,gen_cf,0.262,0.738,11
37,638,0,Some-college,10,80,Married-civ-spouse,Exec-managerial,White,Husband,Male,Private,gen_cf,0.23,0.77,11
37,0,0,Some-college,10,80,Married-civ-spouse,Exec-managerial,White,Husband,Male,Private,gen_cf,0.228,0.772,11
32,0,0,Assoc-acdm,12,50,Never-married,Sales,Black,Not-in-family,Male,Private,x_interest,0.98,0.02,14
32,0,0,Preschool,12,50,Married-civ-spouse,Protective-serv,White,Husband,Male,Private,gen_cf,0.38,0.62,14
32,2419,507,Assoc-acdm,12,50,Married-civ-spouse,Adm-clerical,White,Husband,Male,Private,gen_cf,0.498,0.502,14
32,0,0,Masters,9,50,Divorced,Sales,White,Not-in-family,Male,Private,gen_cf,0.73,0.27,14
28,0,0,Some-college,9,50,Married-civ-spouse,Sales,White,Not-in-family,Female,Private,gen_cf,0.946,0.054,14
23,14,0,Assoc-voc,11,50,Never-married,Other-service,White,Not-in-family,Male,Private,gen_cf,0.994,0.006,14
23,0,0,Assoc-acdm,12,50,Never-married,Other-service,White,Not-in-family,Female,Private,gen_cf,0.992,0.008,14
32,0,79,Assoc-acdm,11,50,Divorced,Sales,White,Husband,Male,Private,gen_cf,0.754,0.246,14
32,0,865,Masters,12,33,Never-married,Sales,White,Not-in-family,Male,Private,gen_cf,0.782,0.218,14
26,0,0,Assoc-acdm,10,62,Never-married,Sales,White,Not-in-family,Male,Private,gen_cf,0.978,0.022,14
32,0,0,Assoc-acdm,12,50,Never-married,Adm-clerical,White,Not-in-family,Female,Private,gen_cf,0.972,0.028,14
23,0,75,Assoc-acdm,12,50,Never-married,Sales,White,Not-in-family,Female,Private,gen_cf,0.994,0.006,14
27,2431,0,Assoc-acdm,12,59,Never-married,Sales,White,Not-in-family,Male,Private,gen_cf,0.956,0.044,14
29,0,15,Assoc-acdm,10,50,Never-married,Sales,White,Not-in-family,Male,Private,gen_cf,0.988,0.012,14
32,0,0,Assoc-acdm,12,39,Never-married,Sales,White,Not-in-family,Male,Private,gen_cf,0.962,0.038,14
39,170,0,Assoc-acdm,12,50,Never-married,Sales,White,Not-in-family,Male,Private,gen_cf,0.962,0.038,14
32,0,0,Assoc-acdm,11,50,Never-married,Sales,White,Not-in-family,Male,Private,gen_cf,0.972,0.028,14
31,0,0,Assoc-acdm,12,50,Never-married,Sales,White,Not-in-family,Male,Private,gen_cf,0.964,0.036,14
30,0,0,Assoc-acdm,12,50,Never-married,Sales,White,Not-in-family,Male,Private,gen_cf,0.988,0.012,14
32,0,0,Assoc-acdm,12,50,Never-married,Sales,White,Not-in-family,Male,Private,gen_cf,0.974,0.026,14
54,0,0,HS-grad,9,20,Separated,Other-service,Black,Unmarried,Female,Private,x_interest,1,0,22
58,0,9,Masters,10,20,Divorced,Sales,White,Not-in-family,Male,Private,gen_cf,0.78,0.22,22
54,6666,0,HS-grad,6,46,Married-civ-spouse,Exec-managerial,White,Wife,Male,Private,gen_cf,0.146,0.854,22
66,0,0,HS-grad,9,33,Married-civ-spouse,Other-service,White,Not-in-family,Male,State-gov,gen_cf,0.892,0.108,22
35,0,0,HS-grad,9,20,Never-married,Prof-specialty,White,Not-in-family,Male,Private,gen_cf,0.982,0.018,22
54,0,0,HS-grad,11,69,Married-civ-spouse,Other-service,White,Wife,Female,Private,gen_cf,0.626,0.374,22
73,0,164,HS-grad,9,68,Married-civ-spouse,Other-service,White,Unmarried,Female,Private,gen_cf,0.794,0.206,22
54,0,0,HS-grad,9,41,Married-AF-spouse,Other-service,White,Unmarried,Female,Private,gen_cf,0.986,0.014,22
54,0,650,HS-grad,9,20,Married-civ-spouse,Other-service,White,Husband,Male,Private,gen_cf,0.936,0.064,22
54,0,0,HS-grad,10,20,Widowed,Other-service,White,Not-in-family,Female,Private,gen_cf,0.998,0.002,22
39,4,461,HS-grad,9,28,Separated,Other-service,White,Unmarried,Female,Private,gen_cf,0.958,0.042,22
54,0,0,HS-grad,9,25,Married-civ-spouse,Other-service,White,Unmarried,Female,Private,gen_cf,0.898,0.102,22
43,0,0,HS-grad,9,33,Separated,Other-service,White,Own-child,Female,Private,gen_cf,1,0,22
60,0,0,HS-grad,12,20,Divorced,Other-service,White,Unmarried,Female,Private,gen_cf,0.966,0.034,22
54,0,0,HS-grad,9,20,Married-civ-spouse,Other-service,White,Unmarried,Female,Private,gen_cf,0.904,0.096,22
54,0,60,HS-grad,9,20,Separated,Other-service,White,Not-in-family,Female,Private,gen_cf,1,0,22
54,0,0,HS-grad,9,20,Divorced,Other-service,White,Unmarried,Female,Private,gen_cf,1,0,22
41,0,420,HS-grad,9,25,Separated,Other-service,White,Unmarried,Female,Private,gen_cf,0.958,0.042,22
39,0,0,HS-grad,9,20,Separated,Other-service,White,Unmarried,Female,Private,gen_cf,1,0,22
46,0,0,HS-grad,9,20,Separated,Other-service,White,Own-child,Female,Private,gen_cf,1,0,22
54,0,0,HS-grad,9,20,Separated,Adm-clerical,White,Unmarried,Female,Private,gen_cf,1,0,22
44,0,0,HS-grad,9,20,Separated,Other-service,White,Unmarried,Female,Private,gen_cf,0.992,0.008,22
54,0,0,HS-grad,9,28,Separated,Other-service,White,Unmarried,Female,Private,gen_cf,1,0,22
54,0,0,HS-grad,9,20,Widowed,Other-service,White,Unmarried,Female,Private,gen_cf,1,0,22
54,0,0,HS-grad,9,22,Widowed,Other-service,White,Unmarried,Female,Private,gen_cf,1,0,22
59,0,0,HS-grad,9,20,Separated,Other-service,White,Unmarried,Female,Private,gen_cf,0.994,0.006,22
54,0,0,HS-grad,9,17,Separated,Other-service,White,Unmarried,Female,Private,gen_cf,1,0,22
54,0,0,HS-grad,9,20,Separated,Other-service,White,Unmarried,Female,Private,gen_cf,1,0,22
35,0,0,9th,5,40,Married-civ-spouse,Farming-fishing,Black,Husband,Male,Federal-gov,x_interest,0.832,0.168,23
25,0,234,9th,5,40,Married-civ-spouse,Craft-repair,White,Husband,Male,Without-pay,gen_cf,0.94,0.06,23
30,0,678,9th,5,40,Married-civ-spouse,Farming-fishing,White,Husband,Male,Private,gen_cf,0.906,0.094,23
35,0,0,7th-8th,5,52,Married-civ-spouse,Farming-fishing,White,Husband,Male,Self-emp-inc,gen_cf,0.504,0.496,23
32,224,0,9th,8,43,Married-civ-spouse,Farming-fishing,White,Husband,Male,State-gov,gen_cf,0.778,0.222,23
35,3895,150,Assoc-voc,5,32,Married-civ-spouse,Tech-support,White,Husband,Male,Private,gen_cf,0.598,0.402,23
38,0,0,9th,5,40,Married-civ-spouse,Adm-clerical,White,Husband,Male,Private,gen_cf,0.84,0.16,23
39,0,0,9th,6,40,Married-civ-spouse,Farming-fishing,White,Husband,Male,Private,gen_cf,0.796,0.204,23
35,0,165,9th,5,41,Married-civ-spouse,Farming-fishing,White,Husband,Male,State-gov,gen_cf,0.82,0.18,23
35,0,0,9th,5,40,Married-civ-spouse,Farming-fishing,White,Husband,Male,Self-emp-inc,gen_cf,0.676,0.324,23
35,0,0,HS-grad,5,40,Married-civ-spouse,Farming-fishing,White,Husband,Male,Self-emp-not-inc,gen_cf,0.694,0.306,23
39,0,0,HS-grad,5,40,Married-civ-spouse,Adm-clerical,White,Husband,Male,Federal-gov,gen_cf,0.364,0.636,23
35,4070,0,9th,7,42,Married-civ-spouse,Farming-fishing,White,Husband,Male,Federal-gov,gen_cf,0.598,0.402,23
35,0,0,9th,5,60,Married-civ-spouse,Farming-fishing,White,Husband,Male,Federal-gov,gen_cf,0.748,0.252,23
35,0,0,9th,5,42,Married-civ-spouse,Farming-fishing,White,Husband,Male,Federal-gov,gen_cf,0.76,0.24,23
34,0,0,9th,5,40,Married-civ-spouse,Farming-fishing,White,Husband,Male,Federal-gov,gen_cf,0.782,0.218,23
35,0,0,9th,5,40,Married-civ-spouse,Farming-fishing,White,Husband,Male,Federal-gov,gen_cf,0.78,0.22,23
20,0,0,Some-college,10,44,Never-married,Sales,Black,Own-child,Male,Private,x_interest,1,0,31
20,2237,125,Assoc-acdm,11,30,Married-civ-spouse,Sales,White,Not-in-family,Male,Private,gen_cf,0.822,0.178,31
17,2215,0,11th,9,35,Never-married,Sales,White,Husband,Female,Private,gen_cf,0.966,0.034,31
20,0,0,Some-college,10,39,Never-married,Sales,White,Husband,Male,Private,gen_cf,0.968,0.032,31
20,0,0,Some-college,10,28,Never-married,Sales,White,Own-child,Female,Private,gen_cf,1,0,31
27,0,0,Some-college,10,38,Never-married,Sales,White,Own-child,Male,Private,gen_cf,0.998,0.002,31
20,0,0,Some-college,10,39,Never-married,Sales,White,Own-child,Male,Private,gen_cf,0.998,0.002,31
20,0,0,Some-college,10,40,Never-married,Sales,White,Own-child,Male,Private,gen_cf,1,0,31
20,0,0,Some-college,10,43,Never-married,Sales,White,Own-child,Male,Private,gen_cf,1,0,31
20,0,0,Some-college,10,44,Never-married,Sales,White,Own-child,Male,Private,gen_cf,1,0,31
22,0,0,Some-college,10,15,Married-civ-spouse,Other-service,Black,Husband,Male,State-gov,x_interest,0.982,0.018,34
22,0,0,5th-6th,11,27,Married-civ-spouse,Prof-specialty,White,Husband,Male,Self-emp-inc,gen_cf,0.634,0.366,34
20,0,0,Bachelors,10,30,Married-civ-spouse,Farming-fishing,White,Husband,Male,Self-emp-not-inc,gen_cf,0.73,0.27,34
33,0,453,Some-college,10,31,Married-AF-spouse,Exec-managerial,White,Husband,Male,State-gov,gen_cf,0.742,0.258,34
18,0,0,Some-college,10,24,Married-civ-spouse,Tech-support,White,Husband,Female,Private,gen_cf,0.922,0.078,34
28,0,119,Assoc-acdm,10,22,Never-married,Farming-fishing,White,Wife,Male,Self-emp-not-inc,gen_cf,0.86,0.14,34
41,0,456,Some-college,10,15,Married-civ-spouse,Sales,White,Husband,Male,Private,gen_cf,0.648,0.352,34
22,0,0,Some-college,10,15,Married-civ-spouse,Tech-support,White,Husband,Male,Private,gen_cf,0.928,0.072,34
24,538,0,HS-grad,6,27,Married-civ-spouse,Other-service,White,Husband,Male,State-gov,gen_cf,0.954,0.046,34
17,0,0,Some-college,10,22,Married-civ-spouse,Protective-serv,White,Husband,Male,State-gov,gen_cf,0.918,0.082,34
22,0,0,Some-college,10,28,Married-civ-spouse,Craft-repair,White,Husband,Male,State-gov,gen_cf,0.964,0.036,34
50,0,0,Some-college,10,23,Married-civ-spouse,Other-service,White,Husband,Male,State-gov,gen_cf,0.876,0.124,34
28,0,0,Some-college,10,19,Married-civ-spouse,Other-service,White,Husband,Male,State-gov,gen_cf,0.966,0.034,34
27,0,0,Some-college,10,15,Married-civ-spouse,Other-service,White,Husband,Male,Private,gen_cf,0.972,0.028,34
22,0,0,Some-college,10,22,Married-civ-spouse,Other-service,White,Husband,Male,State-gov,gen_cf,0.98,0.02,34
22,0,0,Some-college,10,15,Married-civ-spouse,Other-service,White,Husband,Male,Private,gen_cf,0.986,0.014,34
22,1406,0,Some-college,10,15,Married-civ-spouse,Other-service,White,Husband,Male,State-gov,gen_cf,0.982,0.018,34
22,779,0,Some-college,10,15,Married-civ-spouse,Other-service,White,Husband,Male,State-gov,gen_cf,0.982,0.018,34
22,688,0,Some-college,10,15,Married-civ-spouse,Other-service,White,Husband,Male,State-gov,gen_cf,0.982,0.018,34
22,0,0,Some-college,10,13,Married-civ-spouse,Other-service,White,Husband,Male,State-gov,gen_cf,0.982,0.018,34
22,0,0,Some-college,10,15,Married-civ-spouse,Other-service,White,Husband,Male,State-gov,gen_cf,0.982,0.018,34
57,0,0,Bachelors,13,40,Married-civ-spouse,Prof-specialty,Black,Husband,Male,Federal-gov,x_interest,0.208,0.792,45
55,1697,0,Prof-school,13,40,Married-civ-spouse,Prof-specialty,White,Husband,Male,Without-pay,gen_cf,0.246,0.754,45
57,0,0,Bachelors,10,43,Married-civ-spouse,Prof-specialty,White,Husband,Male,Self-emp-inc,gen_cf,0.426,0.574,45
58,0,0,Bachelors,13,42,Married-civ-spouse,Prof-specialty,White,Husband,Male,Without-pay,gen_cf,0.422,0.578,45
52,0,0,Bachelors,13,40,Married-civ-spouse,Prof-specialty,White,Husband,Male,Private,gen_cf,0.406,0.594,45
57,0,0,Bachelors,13,40,Married-civ-spouse,Prof-specialty,White,Husband,Male,Self-emp-not-inc,gen_cf,0.596,0.404,45
70,926,328,Bachelors,15,52,Married-civ-spouse,Prof-specialty,White,Husband,Male,Federal-gov,gen_cf,0.202,0.798,45
57,0,0,Bachelors,13,61,Married-civ-spouse,Prof-specialty,White,Husband,Male,Federal-gov,gen_cf,0.354,0.646,45
65,0,0,Bachelors,14,40,Married-civ-spouse,Prof-specialty,White,Husband,Male,Federal-gov,gen_cf,0.25,0.75,45
59,0,0,Bachelors,13,28,Married-civ-spouse,Prof-specialty,White,Husband,Male,Federal-gov,gen_cf,0.46,0.54,45
57,0,0,Bachelors,13,28,Married-civ-spouse,Prof-specialty,White,Husband,Male,Federal-gov,gen_cf,0.464,0.536,45
57,1977,0,Bachelors,13,37,Married-civ-spouse,Prof-specialty,White,Husband,Male,Federal-gov,gen_cf,0.428,0.572,45
57,0,0,Bachelors,13,33,Married-civ-spouse,Prof-specialty,White,Husband,Male,Federal-gov,gen_cf,0.414,0.586,45
65,0,0,Bachelors,13,40,Married-civ-spouse,Prof-specialty,White,Husband,Male,Federal-gov,gen_cf,0.268,0.732,45
55,0,0,Bachelors,13,40,Married-civ-spouse,Prof-specialty,White,Husband,Male,Federal-gov,gen_cf,0.336,0.664,45
57,0,0,Bachelors,13,40,Married-civ-spouse,Prof-specialty,White,Husband,Male,Federal-gov,gen_cf,0.314,0.686,45
31,0,0,Bachelors,13,40,Separated,Sales,Black,Own-child,Female,Private,x_interest,0.936,0.064,69
31,0,0,Bachelors,13,49,Married-civ-spouse,Sales,White,Husband,Male,Private,gen_cf,0.632,0.368,69
32,0,0,Bachelors,13,40,Never-married,Sales,White,Husband,Male,Private,gen_cf,0.786,0.214,69
37,0,0,Bachelors,13,40,Married-AF-spouse,Sales,White,Own-child,Male,Private,gen_cf,0.814,0.186,69
31,0,0,Assoc-voc,13,40,Never-married,Sales,White,Own-child,Male,Private,gen_cf,0.85,0.15,69
31,0,521,Bachelors,13,58,Married-civ-spouse,Sales,White,Own-child,Male,Private,gen_cf,0.6,0.4,69
36,3249,0,Bachelors,14,40,Never-married,Sales,White,Own-child,Male,Private,gen_cf,0.824,0.176,69
31,2523,0,Bachelors,9,40,Never-married,Sales,White,Not-in-family,Female,Private,gen_cf,0.828,0.172,69
17,0,87,Bachelors,13,40,Married-civ-spouse,Sales,White,Own-child,Male,Private,gen_cf,0.754,0.246,69
31,0,0,Bachelors,13,40,Divorced,Sales,White,Own-child,Male,Private,gen_cf,0.838,0.162,69
18,0,277,Bachelors,14,40,Married-spouse-absent,Sales,White,Own-child,Female,Private,gen_cf,0.954,0.046,69
31,2006,0,Bachelors,11,40,Married-spouse-absent,Sales,White,Own-child,Female,Private,gen_cf,0.938,0.062,69
31,0,695,Bachelors,13,37,Never-married,Prof-specialty,White,Own-child,Female,Private,gen_cf,0.98,0.02,69
31,0,0,Bachelors,13,32,Married-civ-spouse,Sales,White,Own-child,Female,Private,gen_cf,0.578,0.422,69
31,0,381,Bachelors,9,40,Never-married,Sales,White,Own-child,Female,Private,gen_cf,0.902,0.098,69
34,0,0,Bachelors,13,40,Married-spouse-absent,Sales,White,Own-child,Female,Private,gen_cf,0.934,0.066,69
31,0,0,Bachelors,13,40,Never-married,Sales,White,Own-child,Female,Private,gen_cf,0.886,0.114,69
24,0,542,Bachelors,13,25,Separated,Sales,White,Own-child,Female,Private,gen_cf,0.976,0.024,69
25,0,167,Bachelors,12,40,Separated,Sales,White,Own-child,Female,Private,gen_cf,0.98,0.02,69
31,0,0,Bachelors,13,25,Separated,Sales,White,Own-child,Female,Private,gen_cf,0.922,0.078,69
25,0,0,Bachelors,13,40,Separated,Sales,White,Own-child,Female,Private,gen_cf,0.98,0.02,69
28,0,0,Bachelors,13,40,Separated,Sales,White,Own-child,Female,Private,gen_cf,0.974,0.026,69
31,0,0,Bachelors,13,42,Separated,Sales,White,Own-child,Female,Private,gen_cf,0.926,0.074,69
31,0,0,Bachelors,13,40,Separated,Sales,White,Own-child,Female,Private,gen_cf,0.92,0.08,69
28,0,0,Some-college,10,25,Divorced,Machine-op-inspct,Black,Unmarried,Female,Private,x_interest,0.988,0.012,89
34,0,54,Assoc-voc,10,44,Married-AF-spouse,Craft-repair,White,Husband,Male,Self-emp-not-inc,gen_cf,0.73,0.27,89
28,0,0,Some-college,10,46,Divorced,Prof-specialty,White,Husband,Male,Private,gen_cf,0.896,0.104,89
46,0,0,Some-college,10,39,Divorced,Exec-managerial,White,Unmarried,Male,Private,gen_cf,0.942,0.058,89
28,1725,0,Some-college,8,32,Never-married,Machine-op-inspct,White,Own-child,Male,Private,gen_cf,0.996,0.004,89
20,2493,526,Some-college,9,25,Divorced,Machine-op-inspct,White,Not-in-family,Male,Private,gen_cf,0.972,0.028,89
28,2146,194,Some-college,10,48,Divorced,Machine-op-inspct,White,Unmarried,Male,Private,gen_cf,0.9,0.1,89
28,3234,0,Some-college,10,43,Divorced,Machine-op-inspct,White,Unmarried,Male,Private,gen_cf,0.934,0.066,89
28,0,66,Some-college,10,47,Divorced,Machine-op-inspct,White,Unmarried,Male,Private,gen_cf,0.918,0.082,89
28,0,50,Some-college,10,33,Married-civ-spouse,Sales,White,Wife,Female,Private,gen_cf,0.98,0.02,89
28,0,46,Some-college,10,36,Divorced,Machine-op-inspct,White,Unmarried,Male,Private,gen_cf,0.95,0.05,89
28,0,0,Some-college,10,69,Divorced,Machine-op-inspct,White,Unmarried,Female,Private,gen_cf,0.802,0.198,89
28,0,0,Some-college,9,31,Divorced,Machine-op-inspct,White,Unmarried,Male,Private,gen_cf,0.966,0.034,89
28,1230,0,Some-college,10,27,Divorced,Machine-op-inspct,White,Unmarried,Male,Private,gen_cf,0.95,0.05,89
28,1307,0,Some-college,10,25,Divorced,Machine-op-inspct,White,Unmarried,Male,Private,gen_cf,0.952,0.048,89
38,4152,0,Some-college,12,25,Divorced,Machine-op-inspct,White,Unmarried,Female,Private,gen_cf,0.92,0.08,89
43,0,2,Some-college,10,37,Divorced,Machine-op-inspct,White,Unmarried,Female,Private,gen_cf,0.954,0.046,89
